         63773119 function calls (62897781 primitive calls) in 80.512 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      145    0.000    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:1209(is_float_dtype)
        1    0.000    0.000    0.000    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\main.py:48(<dictcomp>)
      244    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:1435(_is_dtype)
        1    0.000    0.000    0.000    0.000 {method 'shuffle' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.001    0.001 C:\Users\abhil\anaconda3\Lib\site-packages\numpy\core\_methods.py:198(_var)
    75/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       10    0.000    0.000    0.000    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
       50    0.000    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\module.py:2045(_named_members)
      106    0.000    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:1244(is_bool_dtype)
      519    0.000    0.000    0.000    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\language.py:104(<lambda>)
       28    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
       24    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\module.py:539(register_parameter)
       42    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
      519    0.000    0.000    0.000    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\language.py:75(__str__)
        4    0.000    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:469(__new__)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       36    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\autograd\grad_mode.py:53(__enter__)
       36    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\autograd\grad_mode.py:57(__exit__)
      197    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:152(<lambda>)
       42    0.000    0.000    0.000    0.000 {built-in method torch._C._are_functorch_transforms_active}
       24    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\init.py:284(_calculate_fan_in_and_fan_out)
       66    0.000    0.000    0.000    0.000 {method 'numel' of 'torch._C._TensorBase' objects}
       37    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\parameter.py:8(__instancecheck__)
      366    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:1459(get_dtype)
        1    0.000    0.000    0.021    0.021 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\autoencoder.py:7(__init__)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       23    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\module.py:585(add_module)
        2    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\container.py:97(__init__)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      285    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       11    0.000    0.000    0.014    0.001 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\autoencoder.py:49(decode)
      156    0.000    0.000    0.000    0.000 {built-in method torch._C._set_grad_enabled}
